Time_s,X,Y,Z
23.067,0.387,-0.066,-0.93
23.1,0.387,-0.066,-0.93
23.133,0.387,-0.066,-0.93
23.166,0.387,-0.066,-0.93
23.199,0.387,-0.066,-0.93
23.232,0.387,-0.066,-0.93
23.265,0.387,-0.066,-0.93
23.298,0.387,-0.066,-0.93
23.331,0.387,-0.066,-0.93
23.364,0.387,-0.066,-0.93
23.397,0.387,-0.066,-0.93
23.43,0.387,-0.066,-0.93
23.463,0.387,-0.066,-0.93
23.496,0.387,-0.066,-0.93
23.529,0.387,-0.066,-0.93
23.562,0.387,-0.066,-0.93
23.595,0.387,-0.066,-0.93
23.628,0.387,-0.066,-0.93
23.661,0.387,-0.066,-0.93
23.694,0.387,-0.066,-0.93
23.727,0.387,-0.066,-0.93
23.76,0.387,-0.066,-0.93
23.793,0.387,-0.066,-0.93
23.826,0.387,-0.066,-0.93
23.859,0.387,-0.066,-0.93
23.892,0.387,-0.066,-0.93
23.925,0.387,-0.066,-0.93
23.958,0.387,-0.066,-0.93
23.991,0.387,-0.066,-0.93
24.024,0.387,-0.066,-0.93
24.057,0.387,-0.066,-0.93
24.09,0.387,-0.066,-0.93
24.123,0.387,-0.066,-0.93
24.156,0.387,-0.066,-0.93
24.189,0.387,-0.066,-0.93
24.222,0.387,-0.066,-0.93
24.255,0.387,-0.066,-0.93
24.288,0.387,-0.066,-0.93
24.321,0.387,-0.066,-0.93
24.354,0.387,-0.066,-0.93
24.387,0.387,-0.066,-0.93
24.42,0.387,-0.066,-0.93
24.453,0.387,-0.066,-0.93
24.486,0.387,-0.066,-0.93
24.519,0.387,-0.066,-0.93
24.552,0.387,-0.066,-0.93
24.585,0.387,-0.066,-0.93
24.618,0.387,-0.066,-0.93
24.651,0.387,-0.066,-0.93
24.684,0.387,-0.066,-0.93
24.717,0.387,-0.066,-0.93
24.75,0.387,-0.066,-0.93
24.783,0.387,-0.066,-0.93
24.816,0.387,-0.066,-0.93
24.849,0.387,-0.066,-0.93
24.882,0.387,-0.066,-0.93
24.915,0.387,-0.066,-0.93
24.948,0.387,-0.066,-0.93
24.981,0.387,-0.066,-0.93
25.014,0.387,-0.066,-0.93
25.047,0.387,-0.066,-0.93
25.08,0.387,-0.066,-0.93
25.113,0.387,-0.066,-0.93
25.146,0.387,-0.066,-0.93
25.179,0.387,-0.066,-0.93
25.212,0.387,-0.066,-0.93
25.245,0.387,-0.066,-0.93
25.278,0.387,-0.066,-0.93
25.311,0.387,-0.066,-0.93
25.344,0.387,-0.066,-0.93
25.377,0.387,-0.066,-0.93
25.41,0.387,-0.066,-0.93
25.443,0.387,-0.066,-0.93
25.476,0.387,-0.066,-0.93
25.509,0.387,-0.066,-0.93
